dataset_name,producer,landing_page_url,direct_download_url,geo_resolution,temporal_range,update_frequency,file_format,file_size_est,license,cost,verified_url_date,iman_use_case,priority_tier
CDC PLACES (Census Tract),CDC NCCDPHP,https://www.cdc.gov/places/index.html,https://data.cdc.gov/500-Cities-Places/PLACES-Local-Data-for-Better-Health-Census-Tract-D/cwsq-ngmh,census tract (2020 geographies starting 2024 release),2020 release to 2025 release (most recent uses BRFSS 2022 + ACS 2018-2022),annual (August release),CSV / JSON via Socrata API,~250 MB CSV (~30M rows national),Public Domain (US gov),Free,2026-04-21,"Tier-1 outcome tracking: diabetes, obesity, hypertension, mental distress, smoking, uninsured, routine checkup, BP/cholesterol medication adherence at Englewood + Chicago Lawn tract level. Primary dashboard input.",1
CDC PLACES (ZCTA),CDC NCCDPHP,https://www.cdc.gov/places/index.html,https://data.cdc.gov/500-Cities-Places/PLACES-Local-Data-for-Better-Health-ZCTA-Data-202/kee5-23sr,ZIP Code Tabulation Area,matched tract release cadence,annual,CSV / Socrata API,~80 MB,Public Domain,Free,2026-04-21,Match IMAN clinic catchment ZIPs (60636 60609 60621 60629 60632) to health measures when tract-level is suppressed.,1
CDC PLACES (Place/County),CDC NCCDPHP,https://www.cdc.gov/places/index.html,https://data.cdc.gov/500-Cities-Places/PLACES-Local-Data-for-Better-Health-County-Data-2025-release/i46a-9kgh,incorporated place + county,annual,annual,CSV,<50 MB,Public Domain,Free,2026-04-21,Cook County benchmarking + City of Chicago totals for investor narrative.,2
USALEEP (Life Expectancy at Birth by Census Tract),NCHS + NAPHSIS + RWJF,https://www.cdc.gov/nchs/nvss/usaleep/usaleep.html,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/NVSS/USALEEP/,census tract,2010-2015 (only release to date),one-off (no refresh planned as of verification date),XLSX + CSV,~30 MB,Public Domain,Free,2026-04-21,"Canonical LE gap measure (Englewood tract 6808 vs Streeterville tract 812). Use for positive-deviant regression + peer-neighborhood matching. CRITICAL: 2010-2015 vintage pre-dates most IMAN programs — triangulate with newer proxy mortality from CDC WONDER.",1
CDC WONDER (Underlying Cause of Death),NCHS,https://wonder.cdc.gov/,https://wonder.cdc.gov/ucd-icd10-expanded.html,county (tract not available; some ZIP via dashboards),1999-present (multiple cause + underlying),quarterly refresh for provisional,interactive query + TXT export,varies by query,Public Domain (Data Use Agreement checkbox),Free,2026-04-21,"Cook County cause-specific mortality (diabetes DM I-code J44 COPD I21 MI I50 CHF X60-X84 suicide X85-Y09 assault Y90-Y98 overdose). GOTCHA: sub-county rates are suppressed when deaths < 10 in a cell (NCHS confidentiality rule) — Englewood alone will hit suppression for many causes.",1
NCHS NVSS (Detailed Mortality Files),NCHS,https://www.cdc.gov/nchs/nvss/index.htm,https://wonder.cdc.gov/ + restricted micro-data via NCHS RDC,national / state / county (restricted-use micro-data has tract),1900-present (provisional Vital Statistics Rapid Release),quarterly / annual,fixed-width micro-data; public use files,varies,Public (public use) / Restricted (micro),Free / NCHS RDC fees apply,2026-04-21,Source-of-record for every published mortality rate. Use restricted micro-data only if tract-level mortality becomes essential and suppression in WONDER blocks analysis.,2
Illinois Vital Statistics (IDPH),Illinois Department of Public Health,https://dph.illinois.gov/data-statistics/vital-statistics.html,https://dph.illinois.gov/data-statistics/vital-statistics.html,state / Chicago / county,1920-present (infant mortality); recent years for deaths/births,annual,PDF tables + some XLSX,varies,Public,Free,2026-04-21,Chicago-specific infant mortality + birth outcomes at a cadence the city publishes faster than WONDER.,2
Chicago Health Atlas,Chicago Department of Public Health,https://chicagohealthatlas.org/,https://chicagohealthatlas.org/download,Chicago community area (77) + ZIP + census tract + ward,"varies by indicator; most 2013-2024",varies,CSV + XLSX bulk download,<500 MB full catalog,Public (CDPH licensed for public use),Free,2026-04-21,"Englewood (CA 68) + West Englewood (CA 67) + Chicago Lawn / Gage Park (CA 66 + 63) side-by-side comparisons across 160+ indicators. Fastest path to a community-area vs city-mean comparison chart.",1
BRFSS SMART MMSA,CDC / state health depts,https://www.cdc.gov/brfss/smart/smart_2023.html,https://www.cdc.gov/brfss/smart/smart_2023.html,"MMSA (Metro / Micro Statistical Area) — Chicago-Naperville-Elgin is one MMSA",2002-2023 (latest vintage verified),annual,ASCII fixed-width + SAS XPT,~18-40 MB per year,Public Domain,Free,2026-04-21,"Metro-level behavioral prevalence (smoking, alcohol, physical activity, fruit/veg consumption, mental distress) — for MSA context around Englewood's sub-metro estimates.",2
SAHIE (Small Area Health Insurance),US Census Bureau,https://www.census.gov/programs-surveys/sahie.html,https://www.census.gov/programs-surveys/sahie/data/datasets.html,county + state (NO tract),2008-2023 (verified most recent),annual,CSV + XLS,<100 MB full series,Public Domain,Free,2026-04-21,Uninsured rate time series for Cook County — policy context for IMAN clinic utilization trends.,2
County Health Rankings,RWJF + UW Population Health Institute,https://www.countyhealthrankings.org/,https://www.countyhealthrankings.org/health-data/methodology-and-sources,county,2014-2025 (note: 2026 skipped full annual release per publisher notice),annual (skipped 2026),CSV + XLSX,<50 MB,CC BY-ND / public for research,Free,2026-04-21,County-level benchmarking for Cook County against peer-city counties (Wayne MI Philadelphia PA Baltimore MD) for investor narrative.,3
ACS 5-Year Estimates (2020-2024),US Census Bureau,https://www.census.gov/programs-surveys/acs/data.html,https://data.census.gov,census block / block group / tract / place / county,rolling 5-year: most recent verified 2020-2024 (Dec 2025),annual 5-year release,CSV via API + data.census.gov downloads,multi-GB if pulling all tables,Public Domain,Free,2026-04-21,"Workhorse denominator for everything. Poverty rate, median income, race/ethnicity, educational attainment, vacant housing, vehicle access, etc. at tract level for Englewood + Chicago Lawn + peer-neighborhood pool.",1
Decennial Census 2020,US Census Bureau,https://www.census.gov/programs-surveys/decennial-census.html,https://data.census.gov,block / block group / tract,2020 (next 2030),decadal,CSV via API,multi-GB,Public Domain,Free,2026-04-21,Authoritative population denominators + housing unit counts (note: differential privacy noise applied at small geographies).,2
IRS SOI ZIP Code Data,US IRS Statistics of Income,https://www.irs.gov/statistics/soi-tax-stats-individual-income-tax-statistics-zip-code-data-soi,https://www.irs.gov/statistics/soi-tax-stats-individual-income-tax-statistics-zip-code-data-soi,ZIP code,1998 2001 2004-2022 (verified),annual (~2 yr lag),XLSX in ZIP archive,<100 MB per year,Public Domain,Free,2026-04-21,"AGI, EITC claims, returns filed at ZIP — proxy for EITC impact story (FU3 in decision tree).",2
HUD CHAS,US HUD PD&R,https://www.huduser.gov/portal/datasets/cp.html,https://www.huduser.gov/portal/datasets/cp.html,state / county / MCD / place / census tract,ACS 2006-2008 through 2018-2022 (released Dec 2025),annual,CSV in ZIP,~50 MB per release,Public Domain,Free (API requires free account),2026-04-21,Housing cost burden by AMI — input to PSH / housing mobility / HO1-HO4 evaluations. Tract-level is available starting in 2014-2018 vintage.,2
HUD Picture of Subsidized Households,US HUD PD&R,https://www.huduser.gov/portal/datasets/assthsg.html,https://www.huduser.gov/portal/datasets/assthsg.html,project / tract / county / state,1998-2024 (latest verified 2024),annual,CSV + XLSX,<100 MB,Public Domain,Free,2026-04-21,Count and characteristics of voucher / public housing / Section 8 units in Englewood + Chicago Lawn tracts — for HO2 housing mobility analysis.,2
HUD Fair Market Rents,US HUD PD&R,https://www.huduser.gov/portal/datasets/fmr.html,https://www.huduser.gov/portal/datasets/fmr.html,county + ZIP (Small Area FMR),FY2001-FY2026 (FY26 effective May 21 2026),annual,XLSX + CSV + API,<10 MB,Public Domain,Free,2026-04-21,Affordability benchmark for Regenerator Housing + housing mobility programs.,3
HMDA (LAR data),CFPB + FFIEC,https://www.consumerfinance.gov/data-research/hmda/,https://ffiec.cfpb.gov/data-browser/,loan record geocoded to census tract,2007-2025 (2025 Modified LAR released April 2026),annual (public release late March / April),CSV / API,2-6 GB per year (full LAR),Public Domain,Free,2026-04-21,Mortgage origination + denial rates in Englewood + Chicago Lawn tracts — historical disinvestment evidence + HO3/HO4 CLT + mixed-income narrative.,2
Opportunity Atlas (Chetty),Opportunity Insights (Harvard),https://www.opportunityatlas.org/,https://opportunityinsights.org/data/,census tract,"1978-1983 birth cohorts (original); updated releases 2024+",episodic,CSV + STATA,~500 MB,Public (CC BY-NC),Free,2026-04-21,Intergenerational mobility by parent race + income for every US tract — matches IMAN's 2040 ED1-ED5 early-childhood ROI narrative.,1
Social Capital Atlas (Chetty),Opportunity Insights (Harvard),https://socialcapital.org/,https://opportunityinsights.org/data/,ZIP code + county + high school + college,2022 (Nature paper data release),one-off,CSV,~100 MB,Public (CC BY-NC),Free,2026-04-21,Economic connectedness score — proxy for IMAN's Community-building pillar (RC1-RC4).,2
