claim_id,claim_text,source,verifier,status
B001,CDC PLACES publishes census-tract-level chronic-disease prevalence for 83522 tracts in the 2025 release covering BRFSS 2022 and ACS 2018-2022,https://data.cdc.gov/500-Cities-Places/PLACES-Local-Data-for-Better-Health-Census-Tract-D/cwsq-ngmh,stream_B,verified
B002,CDC PLACES landing page confirms data portal and tract/ZCTA/place/county geographies available,https://www.cdc.gov/places/index.html,stream_B,verified
B003,USALEEP census-tract life expectancy data covers 2010-2015 deaths and is hosted on the CDC FTP server,https://www.cdc.gov/nchs/nvss/usaleep/usaleep.html,stream_B,verified
B004,USALEEP raw files available at the CDC Health Statistics FTP in XLSX and CSV,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/NVSS/USALEEP/,stream_B,verified
B005,CDC WONDER provides underlying-cause-of-death micro-queries from 1999 to present with small-cell suppression for cells under 10 deaths,https://wonder.cdc.gov/,stream_B,verified
B006,NCHS NVSS downloadable final data available via CDC WONDER for public use and via NCHS Research Data Center for restricted micro-data,https://www.cdc.gov/nchs/nvss/index.htm,stream_B,verified
B007,Chicago Health Atlas hosts 160+ community-area health indicators with CSV/XLSX bulk download,https://chicagohealthatlas.org/download,stream_B,verified
B008,BRFSS SMART MMSA 2023 data released December 2024 available as ASCII and SAS XPT,https://www.cdc.gov/brfss/smart/smart_2023.html,stream_B,verified
B009,SAHIE Small Area Health Insurance Estimates covers 2008-2023 at state and county level (no tract),https://www.census.gov/programs-surveys/sahie/data/datasets.html,stream_B,verified
B010,County Health Rankings homepage indicates no typical 2026 annual release; 2014-2023 mortality data referenced,https://www.countyhealthrankings.org/,stream_B,verified
B011,ACS 2020-2024 5-year estimates released December 2025 accessible via data.census.gov and the Census API,https://www.census.gov/programs-surveys/acs/data.html,stream_B,verified
B012,IRS SOI ZIP code data covers tax years 1998 2001 2004-2022 as ZIP-compressed state Excel files,https://www.irs.gov/statistics/soi-tax-stats-individual-income-tax-statistics-zip-code-data-soi,stream_B,verified
B013,HUD CHAS data most recent release is 2018-2022 ACS-based released 23 December 2025 with tract/place/MCD/county/state geographies and CSV format,https://www.huduser.gov/portal/datasets/cp.html,stream_B,verified
B014,HUD Picture of Subsidized Households 2024 data dictionary available on HUD USER portal,https://www.huduser.gov/portal/datasets/assthsg.html,stream_B,verified
B015,HUD Fair Market Rents FY2026 effective 21 May 2026 available at HUD USER with API,https://www.huduser.gov/portal/datasets/fmr.html,stream_B,verified
B016,HMDA Data Browser hosted at ffiec.cfpb.gov with 2025 Modified LAR released April 2026,https://ffiec.cfpb.gov/data-browser/,stream_B,verified
B017,Opportunity Insights publishes Opportunity Atlas and Social Capital Atlas with tract-level data downloadable in CSV and STATA,https://opportunityinsights.org/data/,stream_B,verified
B018,Cook County Assessor open data available on Cook County Data Portal with CCAO tag; CCAO also maintains GitHub repo,https://datacatalog.cookcountyil.gov/browse?tags=cook%20county%20assessor,stream_B,verified
B019,USDA Food Access Research Atlas current vintage 2019 with tract-level LILATracts flag and Shapefile/XLSX format,https://www.ers.usda.gov/data-products/food-access-research-atlas,stream_B,verified
B020,USDA Food Environment Atlas updated 3 March 2026 with county-level food environment indicators,https://www.ers.usda.gov/data-products/food-environment-atlas,stream_B,verified
